tSchool;Schooljaar;slaagpct;examenkandidaten;geslaagden;ce_gem;se_gem;se_ce_verschil;ce_gem_duo;ce_grieks;ce_latijn;percentiel_slaag;percentiel_ce;percentiel_se;pct_wo;pct_hbo;pct_geen_bekostigd;totaal_gediplomeerden;leerlingen_totaal;leerlingen_groei_pct;pct_zittenblijvers;n_zittenblijvers;pct_afstromers;tevredenheid_ll;tevredenheid_ouders;sfeer;veiligheid;inspectie_oordeel;inspectie_obsnelheid_3jr;inspectie_bbsucces_3jr;inspectie_ce_3jr;inspectie_sece_3jr;inspectie_advies_3jr;leerling_leraar_ratio;fte_totaal;fte_onderwijzend;pct_schaal_lc;pct_schaal_ld;gem_loonsom_op;verzuimpct;meldfrequentie;brugjaar_bevorderd_pct;brugjaar_uitval_pct;n_examenvakken;has_grieks;has_latijn;n_deelnemers_grieks;n_deelnemers_latijn;klassieke_talen_deelname_pct;ses_woa;inkomen_gem_pctgrp;pct_inkomen_p80_100;vermogen_gem_pctgrp;welvaart_gem_pctgrp;pct_koopwoning;stedelijkheid;pct_migratie;pct_niet_westers;leefbaarheid;leefb_onveiligheid;leefb_sociaal;solvabiliteit;weerstandsvermogen;kapitalisatiefactor;eenpitter;pct_atheneum;gemengd;pct_meisjes;pct_natuur;afstroom_jongens;afstroom_meisjes
25. 41347-14WI-000;21-22;93,5;77;72;6,16;6,74;0,41;6,15;5,62;5,15;;;;68,1;13,9;16,7;72;516;;7,2;38;0,4;6,6;;8,3;;voldoende;96,5;88,58;6,22;0,22;2,31;14,9;40,7;31,4;29,0;33,8;5132,0;4,5;1,3;88,9;11,1;20;1;1;13;67;103,9;0,15;53,3;18,7;52,5;52,1;68,5;3,4;14,9;7,5;4,209;0,072;0,04;34,4;17,4;41,8;0;0,0;0;54,7;57,7;6,4;9,2
25. 41347-14WI-000;22-23;71,1;83;59;6,22;6,59;0,22;6,21;5,2;5,55;;;;61,0;15,3;23,7;59;468;-9,3;7,0;36;2,5;6,5;;8,1;;voldoende;96,5;88,58;6,22;0,22;2,31;15,0;38,6;29,3;30,8;30,5;5607,0;5,3;1,4;92,5;7,5;20;1;1;8;77;102,4;0,15;53,3;18,7;52,5;52,1;68,5;3,4;14,9;7,5;4,209;0,072;0,04;34,4;17,4;41,8;0;0,0;0;51,1;58,1;10,0;9,6
25. 41347-14WI-000;23-24;78,0;59;46;6,53;6,73;0,19;6,49;6,9;6,5;4,0;8,0;35,0;71,7;8,7;17,4;46;438;-6,4;8,7;41;;6,5;8,3;8,2;9,6;voldoende;96,5;88,58;6,22;0,22;2,31;;;;;;;7,0;1,1;0,0;100,0;17;1;1;12;52;108,5;0,15;53,3;18,7;52,5;52,1;68,5;3,4;14,9;7,5;4,209;0,072;0,04;34,4;17,4;41,8;0;0,0;0;51,8;57,3;100,0;100,0
25. 41347-14WI-000;24-25;82,9;70;58;6,37;6,69;0,32;6,33;5,6;6,7;13,0;8,0;18,0;;;;;466;6,4;8,5;38;;;;;;voldoende;96,5;88,58;6,22;0,22;2,31;;;;;;;;;;;17;1;1;23;53;108,6;0,15;53,3;18,7;52,5;52,1;68,5;3,4;14,9;7,5;4,209;0,072;0,04;34,4;17,4;41,8;0;0,0;0;50,2;57,8;0,0;0,0
26. 13603-20DL-002;21-22;85,1;161;137;6,38;7,11;0,62;6,21;6,39;5,89;;;;59,5;9,8;30,1;153;437;;7,9;3;0,0;6,5;;;8,6;voldoende;95,09;88,06;6,5;0,44;5,03;16,7;395,7;254,7;19,4;19,9;4663,0;;;96,1;3,9;21;1;1;21;51;44,7;0,1;51,6;18,4;50,5;50,4;62,3;2,9;17,1;9,1;4,203;0,047;0,029;40,4;23,0;51,6;0;26,6;1;51,0;49,5;6,5;4,9
26. 13603-20DL-002;22-23;76,7;146;112;6,5;7,05;0,44;6,33;6,19;6,51;;;;65,3;9,1;24,0;121;453;3,7;17,6;6;0,0;6,7;;7,8;;voldoende;95,09;88,06;6,5;0,44;5,03;16,3;414,1;278,5;16,0;19,9;5043,0;8,0;1,2;86,7;13,3;19;1;1;25;29;37,0;0,1;51,6;18,4;50,5;50,4;62,3;2,9;17,1;9,1;4,203;0,047;0,029;40,4;23,0;51,6;0;26,6;1;49,7;47,5;10,5;11,6
26. 13603-20DL-002;23-24;84,5;148;125;6,37;6,74;0,38;6,36;5,7;5,8;14,0;4,0;42,0;60,1;7,0;31,5;143;468;3,3;60,0;6;0,0;6,6;8,3;;9,5;voldoende;95,09;88,06;6,5;0,44;5,03;;;;;;;5,9;1,1;0,0;100,0;17;1;1;13;68;54,7;0,1;51,6;18,4;50,5;50,4;62,3;2,9;17,1;9,1;4,203;0,047;0,029;40,4;23,0;51,6;0;26,6;1;49,6;47,6;100,0;100,0
26. 13603-20DL-002;24-25;86,1;72;62;6,7;6,88;0,18;6,49;5,3;6,1;93,0;30,0;39,0;;;;;444;-5,1;26,9;7;0,0;;;;;voldoende;95,09;88,06;6,5;0,44;5,03;;;;;;;;;;;17;1;1;17;19;50,0;0,1;51,6;18,4;50,5;50,4;62,3;2,9;17,1;9,1;4,203;0,047;0,029;40,4;23,0;51,6;0;26,6;1;48,0;54,8;0,0;0,0
27. 42505-20DP-000;21-22;95,3;150;143;6,78;6,97;0,12;6,77;6,0;5,78;;;;70,6;4,2;25,2;143;924;;4,3;42;0,4;6,8;;8,1;9,5;voldoende;97,11;94,83;6,78;0,07;1,9;13,4;87,2;65,5;25,6;66,0;5424,0;6,5;1,9;96,3;3,7;22;1;1;88;69;104,7;0,24;58,1;30,4;58,3;59,8;57,6;1,6;27,7;14,1;4,197;0,034;-0,011;74,7;49,0;59,6;0;0,0;0;46,4;60,4;4,0;4,9
27. 42505-20DP-000;22-23;89,4;161;144;6,78;6,88;0,07;6,76;6,34;5,86;;;;63,2;2,1;34,0;144;879;-4,9;2,9;27;0,9;6,7;;7,9;9,4;voldoende;97,11;94,83;6,78;0,07;1,9;12,1;94,2;69,1;28,1;65,2;5938,0;4,3;1,6;92,5;7,5;22;1;1;69;101;105,6;0,24;58,1;30,4;58,3;59,8;57,6;1,6;27,7;14,1;4,197;0,034;-0,011;74,7;49,0;59,6;0;0,0;0;46,9;58,3;4,7;4,1
