tSchool;Schooljaar;Profiel;Geslacht;Examenkandidaten;Geslaagden;Slaagpercentage
04. 40776-01ET-000;23-24;N&G/E&M;Man;0;0;0.0
04. 40776-01ET-000;23-24;N&G/E&M;Vrouw;0;0;0.0
04. 40776-01ET-000;23-24;N&T;Man;9;6;66.7
04. 40776-01ET-000;23-24;N&T/E&M;Man;0;0;0.0
04. 40776-01ET-000;23-24;N&T/E&M;Vrouw;0;0;0.0
04. 40776-01ET-000;23-24;N&T/N&G;Man;17;16;94.1
04. 40776-01ET-000;23-24;N&T/N&G;Vrouw;24;24;100.0
04. 40776-01ET-000;24-25;C&M;Vrouw;8;8;100.0
04. 40776-01ET-000;24-25;E&M;Man;20;20;100.0
04. 40776-01ET-000;24-25;E&M/C&M;Man;15;15;100.0
04. 40776-01ET-000;24-25;E&M/C&M;Vrouw;13;13;100.0
04. 40776-01ET-000;24-25;N&G/C&M;Man;0;0;0.0
04. 40776-01ET-000;24-25;N&G/C&M;Vrouw;0;0;0.0
04. 40776-01ET-000;24-25;N&G/E&M;Man;0;0;0.0
04. 40776-01ET-000;24-25;N&G/E&M;Vrouw;0;0;0.0
04. 40776-01ET-000;24-25;N&T;Man;7;7;100.0
04. 40776-01ET-000;24-25;N&T/E&M;Man;0;0;0.0
04. 40776-01ET-000;24-25;N&T/E&M;Vrouw;0;0;0.0
04. 40776-01ET-000;24-25;N&T/N&G;Man;17;16;94.1
04. 40776-01ET-000;24-25;N&T/N&G;Vrouw;17;15;88.2
05. 13556-21AF-000;21-22;C&M;Man;10;10;100.0
05. 13556-21AF-000;21-22;C&M;Vrouw;13;12;92.3
05. 13556-21AF-000;21-22;E&M/C&M;Man;18;16;88.9
05. 13556-21AF-000;21-22;E&M/C&M;Vrouw;18;15;83.3
05. 13556-21AF-000;21-22;N&G;Man;8;5;62.5
05. 13556-21AF-000;21-22;N&G;Vrouw;8;8;100.0
05. 13556-21AF-000;21-22;N&G/C&M;Man;0;0;0.0
05. 13556-21AF-000;21-22;N&G/C&M;Vrouw;0;0;0.0
05. 13556-21AF-000;21-22;N&G/E&M;Man;0;0;0.0
05. 13556-21AF-000;21-22;N&G/E&M;Vrouw;0;0;0.0
05. 13556-21AF-000;21-22;N&T/E&M;Vrouw;0;0;0.0
05. 13556-21AF-000;21-22;N&T/N&G;Man;28;25;89.3
05. 13556-21AF-000;21-22;N&T/N&G;Vrouw;21;20;95.2
05. 13556-21AF-000;22-23;C&M;Man;;0;0.0
05. 13556-21AF-000;22-23;C&M;Vrouw;16;14;87.5
05. 13556-21AF-000;22-23;E&M/C&M;Man;24;24;100.0
05. 13556-21AF-000;22-23;E&M/C&M;Vrouw;11;11;100.0
05. 13556-21AF-000;22-23;N&G;Man;9;7;77.8
05. 13556-21AF-000;22-23;N&G;Vrouw;6;;50.0
05. 13556-21AF-000;22-23;N&G/C&M;Man;0;0;0.0
05. 13556-21AF-000;22-23;N&G/E&M;Man;0;0;0.0
05. 13556-21AF-000;22-23;N&G/E&M;Vrouw;0;0;0.0
05. 13556-21AF-000;22-23;N&T;Man;0;0;0.0
05. 13556-21AF-000;22-23;N&T/E&M;Man;0;0;0.0
05. 13556-21AF-000;22-23;N&T/E&M;Vrouw;0;0;0.0
05. 13556-21AF-000;22-23;N&T/N&G;Man;30;29;96.7
05. 13556-21AF-000;22-23;N&T/N&G;Vrouw;30;28;93.3
05. 13556-21AF-000;23-24;C&M;Man;6;5;83.3
05. 13556-21AF-000;23-24;C&M;Vrouw;14;14;100.0
05. 13556-21AF-000;23-24;E&M/C&M;Man;18;17;94.4
05. 13556-21AF-000;23-24;E&M/C&M;Vrouw;20;19;95.0
05. 13556-21AF-000;23-24;N&G;Man;7;7;100.0
05. 13556-21AF-000;23-24;N&G;Vrouw;10;10;100.0
05. 13556-21AF-000;23-24;N&G/C&M;Man;0;0;0.0
05. 13556-21AF-000;23-24;N&G/C&M;Vrouw;0;0;0.0
05. 13556-21AF-000;23-24;N&G/E&M;Man;0;0;0.0
05. 13556-21AF-000;23-24;N&G/E&M;Vrouw;0;0;0.0
05. 13556-21AF-000;23-24;N&T;Man;0;0;0.0
05. 13556-21AF-000;23-24;N&T/E&M;Man;0;0;0.0
