Type data;tSchool;Vergelijkingsgroep;Advies nlln 21-22;Advies gem 21-22;Advies nlln 22-23;Advies gem 22-23;Advies nlln 23-24;Advies gem 23-24;Advies gem 3jr;Advies norm;Advies oordeel;Obsnelheid nlln 19-20;Obsnelheid gem 19-20;Obsnelheid nlln 21-22;Obsnelheid gem 21-22;Obsnelheid nlln 22-23;Obsnelheid gem 22-23;Obsnelheid gem 3jr;Obsnelheid norm;Obsnelheid norm na cor;Obsnelheid oordeel;Bbsucces nlln 19-20;Bbsucces gem 19-20;Bbsucces nlln 21-22;Bbsucces gem 21-22;Bbsucces nlln 22-23;Bbsucces gem 22-23;Bbsucces gem 3jr;Bbsucces norm;Bbsucces norm na cor;Bbsucces oordeel;CE nvak 20-21;CE gem 20-21;CE nvak 21-22;CE gem 21-22;CE nvak 22-23;CE gem 22-23;CE gem 3jr;CE norm;CE norm na cor;CE oordeel;SECE nvak 20-21;SECE gem 20-21;SECE nvak 21-22;SECE gem 21-22;SECE nvak 22-23;SECE gem 22-23;SECE gem 3jr;SECE norm1;SECE norm2;SECE oordeel;Berekend oordeel
School;11. 41513-20KZ-000;VWO;103;8,74;112;6,25;133;5,26;6,61;1,35;boven de norm;237;95,36;280;91,07;275;93,45;93,18;95,5;94,53;onder de norm;570;94,04;483;89,23;447;89,49;91,13;82,0;80,68;boven de norm;;;;;1004;6,75;;6,3;;;;;;;1004;0,18;;1,0;0,5;;voldoende
School;15. 41360-20LU-000;VWO;116;2,59;141;-4,26;133;-2,26;-1,54;1,35;onder de norm;286;98,95;310;92,9;311;96,78;96,14;95,5;94,23;boven de norm;525;98,67;521;91,75;514;91,63;94,04;82,0;80,37;boven de norm;;;;;1020;7,19;;6,3;;;;;;;1020;-0,18;;1,0;0,5;;voldoende
School;06. 42818-20QU-000;VWO;89;5,62;98;7,14;87;4,6;5,84;1,35;boven de norm;211;98,58;204;97,06;183;96,17;97,32;95,5;95,02;boven de norm;418;95,45;397;91,94;391;85,93;91,21;82,0;81,4;boven de norm;;;;;802;6,58;;6,3;;;;;;;801;0,02;;1,0;0,5;;voldoende
School;19. 13556-20QY-000;VWO;156;0,0;132;-1,52;140;-1,43;-0,93;1,35;onder de norm;291;97,59;285;98,6;306;98,04;98,07;95,5;95,32;boven de norm;567;94,0;553;92,77;513;92,01;92,96;82,0;81,75;boven de norm;;;;;958;7,01;;6,3;;;;;;;958;-0,28;;1,0;0,5;;voldoende
School;07. 13554-20RM-000;VWO;122;0,0;128;0,78;100;1,0;0,57;1,35;onder de norm;303;96,7;252;96,03;212;95,75;96,22;95,5;94,85;boven de norm;632;96,36;562;91,46;532;84,59;91,14;82,0;81,31;boven de norm;;;;;1155;6,55;;6,3;;;;;;;1155;-0,17;;1,0;0,5;;voldoende
School;03. 13556-21AB-000;VWO;131;-1,53;128;0,0;137;2,92;0,51;1,35;onder de norm;283;98,59;289;95,85;290;96,55;96,98;95,5;94,17;boven de norm;532;94,92;511;91,78;509;93,12;93,3;82,0;80,35;boven de norm;;;;;910;7,0;;6,3;;;;;;;910;-0,19;;1,0;0,5;;voldoende
School;05. 13556-21AF-000;VWO;131;-2,29;129;0,78;129;-0,78;-0,77;1,35;onder de norm;317;97,48;300;94,67;299;92,31;94,87;95,5;94,48;boven de norm;518;98,26;542;92,62;541;91,31;94,0;82,0;80,67;boven de norm;;;;;1063;6,97;;6,3;;;;;;;1063;-0,07;;1,0;0,5;;voldoende
School;42. 40586-30GC-000;VWO;131;-2,29;135;-1,48;133;-1,5;-1,75;1,35;onder de norm;290;98,62;289;97,58;286;98,25;98,15;95,5;93,49;boven de norm;493;95,94;527;90,7;538;91,64;92,68;82,0;79,52;boven de norm;;;;;979;6,71;;6,3;;;;;;;979;0,08;;1,0;0,5;;voldoende
School;27. 42505-30GD-000;VWO;140;0,71;159;1,26;135;1,48;1,15;1,35;onder de norm;331;98,79;308;98,38;283;97,17;98,16;95,5;95,16;boven de norm;618;96,93;585;96,24;584;94,52;95,91;82,0;81,55;boven de norm;;;;;1014;7,04;;6,3;;;;;;;1014;-0,05;;1,0;0,5;;voldoende
School;44. 20151-31RY-000;VWO;;;;;117;12,82;;1,35;;;;221;95,48;277;96,75;96,18;95,5;93,49;boven de norm;;;423;86,52;360;86,39;86,46;82,0;78,69;boven de norm;;;;;716;6,5;;6,3;;;;;;;716;0,11;;1,0;0,5;;geen oordeel
