tSchool;Schooljaar;ce_raw;ce_predicted;va_ce
36. 41475-15JM-000;22-23;7.05;6.983;0.067
36. 41475-15JM-000;23-24;7.02;6.9978;0.0222
36. 41475-15JM-000;24-25;6.78;6.9354;-0.1554
37. 13556-20DG-000;21-22;6.54;6.6471;-0.1071
37. 13556-20DG-000;22-23;6.87;6.8311;0.0389
37. 13556-20DG-000;23-24;6.76;6.8455;-0.0855
37. 13556-20DG-000;24-25;7.01;6.7976;0.2124
38. 42623-20CF-000;21-22;6.66;6.6516;0.0084
38. 42623-20CF-000;22-23;6.79;6.8481;-0.0581
38. 42623-20CF-000;23-24;6.86;6.8477;0.0123
38. 42623-20CF-000;24-25;6.78;6.6441;0.1359
41. 42620-01FP-004;21-22;6.48;6.4501;0.0299
41. 42620-01FP-004;22-23;6.72;6.6507;0.0693
41. 42620-01FP-004;23-24;6.56;6.6564;-0.0964
41. 42620-01FP-004;24-25;6.51;6.608;-0.098
42. 40586-30GC-000;21-22;6.51;6.5193;-0.0093
42. 40586-30GC-000;22-23;6.71;6.7226;-0.0126
42. 40586-30GC-000;23-24;6.69;6.7307;-0.0407
42. 40586-30GC-000;24-25;6.68;6.6721;0.0079
43. 42621-14RF-006;21-22;6.9;6.7904;0.1096
43. 42621-14RF-006;22-23;7.11;6.9927;0.1173
43. 42621-14RF-006;23-24;6.94;6.9954;-0.0554
43. 42621-14RF-006;24-25;6.86;6.9438;-0.0838
44. 20151-31RY-000;21-22;6.19;6.4366;-0.2466
44. 20151-31RY-000;22-23;6.5;6.6368;-0.1368
44. 20151-31RY-000;23-24;6.93;6.6736;0.2564
44. 20151-31RY-000;24-25;6.8;6.6066;0.1934
45. 99048-19HV-000;21-22;6.28;6.2418;0.0382
45. 99048-19HV-000;22-23;6.46;6.4344;0.0256
45. 99048-19HV-000;23-24;6.24;6.4454;-0.2054
45. 99048-19HV-000;24-25;6.41;6.3454;0.0646
46. 41298-02VO-000;21-22;6.75;6.6871;0.0629
46. 41298-02VO-000;22-23;6.86;6.8842;-0.0242
46. 41298-02VO-000;23-24;6.9;6.8926;0.0074
46. 41298-02VO-000;24-25;6.73;6.8332;-0.1032
